,Year,OLCAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,,,,,,0.76,0.76,0.76
1,2005,7.88,3.51,0.92,4.37,6.96,0.8,4.0,1.0
2,2006,5.79,4.84,3.05,0.95,2.74,0.8,33.0,1.0
3,2007,0.09,3.36,3.43,-3.27,-3.34,1.08,17.0,94.0
4,2008,-12.69,-2.47,1.55,-10.22,-14.24,0.89,41.0,94.0
5,2009,21.26,12.91,6.27,8.34,14.99,1.43,31.0,1.0
6,2010,3.58,2.38,1.93,1.2,1.64,0.81,42.0,12.0
7,2011,7.02,10.7,4.63,-3.68,2.39,0.77,32.0,70.0
8,2012,7.29,6.78,3.05,0.51,4.24,0.76,20.0,1.0
9,2013,-2.66,-2.55,-1.37,-0.11,-1.29,0.73,37.0,82.0
10,YTD,7.06,8.5,3.38,-1.44,3.69,0.78,19.0,3.0
