,Year,FSAVX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-13.47,24.93,14.76,-38.41,-28.23,-28.23,-28.23,87.0
1,2000,-7.24,-13.18,-14.28,5.93,7.04,1.91,29.0,56.0
2,2001,22.82,-16.82,-1.13,39.64,23.95,2.43,166.0,7.0
3,2002,-6.48,-19.89,-17.74,13.4,11.25,1.87,180.0,9.0
4,2003,43.53,33.11,30.18,10.43,13.35,1.68,217.0,3.0
5,2004,7.11,14.72,12.53,-7.62,-5.43,1.77,1.77,97.0
6,2005,-1.75,9.49,-0.22,-11.24,-1.53,1.56,188.0,74.0
7,2006,13.33,20.07,16.06,-6.73,-2.72,1.19,206.0,71.0
8,2007,0.01,9.04,-6.83,-9.03,6.83,1.21,256.0,50.0
9,2008,-61.2,-40.71,-39.8,-20.49,-21.4,1.15,258.0,100.0
10,2009,122.28,29.99,37.84,92.3,84.45,1.15,156.0,1.0
11,2010,46.18,11.76,27.35,34.42,18.83,0.97,156.0,1.0
12,2011,-26.16,-5.54,1.58,-20.62,-27.74,0.91,91.0,100.0
13,2012,26.17,15.83,22.64,10.35,3.53,0.9,49.0,21.0
14,2013,46.67,26.68,37.14,19.99,9.53,0.89,72.0,1.0
15,YTD,3.46,6.66,6.5,-3.2,-3.05,0.84,148.0,81.0
