,Year,FDSSX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,26.24,21.04,38.87,5.2,-12.63,-12.63,106.0,18.0
1,2000,-7.04,-9.1,-13.05,2.07,6.01,0.61,164.0,41.0
2,2001,-14.38,-11.89,-22.3,-2.49,7.93,0.63,137.0,66.0
3,2002,-21.26,-22.1,-27.64,0.84,6.38,0.83,341.0,32.0
4,2003,27.36,28.68,28.66,-1.33,-1.3,0.82,0.82,48.0
5,2004,9.88,10.88,7.81,-1.0,2.07,0.81,0.81,55.0
6,2005,8.98,4.91,6.71,4.07,2.27,0.79,136.0,15.0
7,2006,13.14,15.79,7.05,-2.65,6.09,0.87,109.0,69.0
8,2007,11.79,5.49,13.35,6.29,-1.57,0.87,91.0,58.0
9,2008,-41.66,-37.0,-40.67,-4.67,-1.0,0.93,121.0,61.0
10,2009,28.81,26.46,35.68,2.34,-6.87,0.87,109.0,77.0
11,2010,19.17,15.06,15.53,4.11,3.64,0.86,147.0,20.0
12,2011,-5.13,2.11,-2.46,-7.24,-2.67,0.78,9.0,75.0
13,2012,17.93,16.0,15.34,1.93,2.59,0.71,21.0,22.0
14,2013,34.06,32.39,33.92,1.67,0.14,0.69,8.0,46.0
15,YTD,11.49,13.98,10.79,-2.48,0.7,0.66,10.0,43.0
