,Year,RPMGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,23.78,21.04,60.49,2.74,-36.71,0.87,53.0,85.0
1,2000,7.43,-9.1,-4.78,16.53,12.2,0.86,54.0,26.0
2,2001,-0.98,-11.89,-19.98,10.91,19.0,0.89,43.0,7.0
3,2002,-21.22,-22.1,-27.24,0.88,6.02,0.88,36.0,24.0
4,2003,38.21,28.68,35.96,9.52,2.25,0.87,0.87,33.0
5,2004,18.39,10.88,13.23,7.51,5.16,0.83,0.83,13.0
6,2005,14.82,4.91,9.84,9.91,4.98,0.8,29.0,15.0
7,2006,6.79,15.79,9.0,-9.0,-2.21,0.8,34.0,64.0
8,2007,17.65,5.49,15.09,12.16,2.56,0.77,35.0,37.0
9,2008,-39.69,-37.0,-43.77,-2.69,4.08,0.82,33.0,20.0
10,2009,45.44,26.46,39.11,18.98,6.34,0.83,31.0,28.0
11,2010,28.06,15.06,24.61,13.0,3.45,0.8,30.0,27.0
12,2011,-1.21,2.11,-3.96,-3.32,2.75,0.8,31.0,30.0
13,2012,13.91,16.0,14.07,-2.09,-0.16,0.8,30.0,53.0
14,2013,36.89,32.39,34.93,4.5,1.96,0.78,26.0,32.0
15,YTD,12.48,13.98,6.96,-1.5,5.51,5.51,5.51,6.0
