,Year,FISEX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,0.8,21.04,6.72,-20.25,-5.92,0.94,50.0,72.0
1,2000,18.6,-9.1,7.87,27.71,10.73,1.04,70.0,10.0
2,2001,-1.33,-11.89,-4.99,10.55,3.65,0.99,114.0,27.0
3,2002,-15.11,-22.1,-18.69,6.99,3.59,1.0,77.0,22.0
4,2003,24.89,28.68,28.44,-3.8,-3.55,1.0,1.0,79.0
5,2004,10.47,10.88,12.97,-0.41,-2.5,0.93,0.93,76.0
6,2005,3.21,4.91,5.95,-1.7,-2.74,0.93,38.0,80.0
7,2006,16.36,15.79,18.15,0.56,-1.8,0.91,29.0,73.0
8,2007,-3.55,5.49,1.42,-9.04,-4.97,0.92,28.0,83.0
9,2008,-35.36,-37.0,-37.09,1.64,1.73,0.95,31.0,35.0
10,2009,26.42,26.46,24.13,-0.04,2.29,1.04,44.0,31.0
11,2010,15.86,15.06,13.66,0.8,2.2,0.98,11.0,20.0
12,2011,1.47,2.11,-0.75,-0.65,2.21,0.96,19.0,30.0
13,2012,11.85,16.0,14.57,-4.16,-2.72,0.95,20.0,81.0
14,2013,29.28,32.39,31.21,-3.11,-1.93,0.91,33.0,73.0
15,YTD,9.85,13.98,10.25,-4.12,-0.4,-0.4,-0.4,61.0
