,Year,FTHRX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,0.96,-0.82,-1.35,1.79,2.31,2.31,2.31,80.0
1,2000,9.75,11.63,9.44,-1.87,0.32,0.32,0.32,10.0
2,2001,8.83,8.44,7.64,0.38,1.18,0.63,73.0,5.0
3,2002,9.16,10.26,8.04,-1.09,1.13,0.63,78.0,4.0
4,2003,4.96,4.1,5.1,0.85,-0.14,0.64,117.0,38.0
5,2004,3.2,4.34,3.91,-1.14,-0.71,0.61,0.61,73.0
6,2005,1.75,2.43,1.8,-0.68,-0.05,0.61,74.0,54.0
7,2006,4.28,4.33,4.15,-0.05,0.13,0.44,71.0,35.0
8,2007,3.93,6.97,4.7,-3.04,-0.77,0.44,94.0,77.0
9,2008,-5.84,5.24,-4.7,-11.08,-1.14,0.44,80.0,58.0
10,2009,17.13,5.93,13.97,11.2,3.16,0.45,66.0,26.0
11,2010,7.58,6.54,7.72,1.04,-0.13,0.45,115.0,46.0
12,2011,6.15,7.84,5.86,-1.69,0.29,0.45,102.0,53.0
13,2012,4.92,4.21,7.01,0.71,-2.08,0.45,115.0,76.0
14,2013,-0.64,-2.02,-1.42,1.38,0.78,0.45,118.0,23.0
15,YTD,3.69,5.87,5.34,-2.18,-1.65,0.45,109.0,91.0
