,Year,FSGRX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,-3.33,-11.89,-8.91,8.56,5.58,1.32,75.0,35.0
1,2002,-27.25,-22.1,-27.88,-5.15,0.63,1.21,41.0,50.0
2,2003,48.47,28.68,45.54,19.78,2.93,1.32,35.0,30.0
3,2004,11.07,10.88,12.41,0.19,-1.34,1.08,1.08,59.0
4,2005,4.48,4.91,6.02,-0.44,-1.55,1.15,46.0,64.0
5,2006,9.46,15.79,10.81,-6.34,-1.36,1.16,44.0,58.0
6,2007,3.29,5.49,7.59,-2.21,-4.3,1.2,51.0,69.0
7,2008,-41.12,-37.0,-41.55,-4.12,0.43,1.16,48.0,49.0
8,2009,45.41,26.46,35.46,18.94,9.95,1.34,43.0,16.0
9,2010,34.56,15.06,26.98,19.49,7.58,1.35,61.0,13.0
10,2011,-1.02,2.11,-3.55,-3.14,2.53,1.37,63.0,29.0
11,2012,10.51,16.0,13.15,-5.5,-2.64,1.37,50.0,79.0
12,2013,54.48,32.39,40.91,22.1,13.57,1.33,41.0,5.0
13,YTD,0.49,13.98,0.47,-13.49,0.02,1.2,40.0,53.0
