,Year,FLTMX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.06,-2.06,-2.06,1.0,1.01,1.01,1.01,26.0
1,2000,9.26,11.68,9.16,-2.43,0.09,0.49,0.49,42.0
2,2001,5.48,5.13,4.39,0.35,1.08,0.39,32.0,8.0
3,2002,9.02,9.6,8.57,-0.58,0.45,0.42,31.0,35.0
4,2003,5.3,5.31,4.1,-0.02,1.2,0.43,0.43,6.0
5,2004,3.74,4.48,2.83,-0.74,0.91,0.42,0.42,14.0
6,2005,2.56,3.51,1.8,-0.96,0.76,0.36,24.0,20.0
7,2006,4.0,4.84,3.67,-0.85,0.32,0.34,24.0,29.0
8,2007,3.95,3.36,2.75,0.59,1.2,0.37,18.0,12.0
9,2008,0.96,-2.47,-2.32,3.44,3.28,0.38,8.0,20.0
10,2009,8.65,12.91,11.41,-4.26,-2.76,0.41,5.0,78.0
11,2010,2.65,2.38,2.22,0.27,0.43,0.39,18.0,38.0
12,2011,7.97,10.7,9.0,-2.73,-1.03,0.4,14.0,72.0
13,2012,4.94,6.78,5.62,-1.84,-0.68,0.37,15.0,58.0
14,2013,-1.5,-2.55,-2.27,1.05,0.76,0.37,15.0,23.0
15,YTD,6.33,8.5,6.44,-2.18,-0.12,-0.12,-0.12,50.0
