,Year,FLPSX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,5.08,21.04,8.5,-15.96,-3.42,-3.42,-3.42,44.0
1,2000,18.83,-9.1,18.45,27.93,0.38,0.8,15.0,55.0
2,2001,26.71,-11.89,6.67,38.59,20.04,1.0,44.0,13.0
3,2002,-6.18,-22.1,-13.25,15.92,7.06,0.97,30.0,8.0
4,2003,40.85,28.68,33.85,12.16,7.0,1.01,23.0,54.0
5,2004,22.24,10.88,17.85,11.36,4.39,0.97,0.97,20.0
6,2005,8.65,4.91,8.82,3.74,-0.17,0.94,24.0,56.0
7,2006,17.76,15.79,15.87,1.97,1.89,0.87,26.0,19.0
8,2007,3.16,5.49,0.83,-2.33,2.33,0.96,11.0,62.0
9,2008,-36.17,-37.0,-36.77,0.82,0.59,0.98,36.0,29.0
10,2009,39.08,26.46,35.41,12.61,3.66,0.98,31.0,28.0
11,2010,20.7,15.06,21.92,5.64,-1.23,0.99,20.0,68.0
12,2011,-0.06,2.11,-3.96,-2.17,3.9,0.83,15.0,17.0
13,2012,18.5,16.0,16.6,2.49,1.9,0.88,19.0,26.0
14,2013,34.31,32.39,35.14,1.93,-0.83,0.79,11.0,48.0
15,YTD,7.27,13.98,8.68,-6.7,-1.41,0.82,12.0,68.0
