,Year,QVGIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,11.23,13.49,21.83,-2.26,-10.6,-10.6,58.0,58.0
1,2000,7.94,1.68,0.23,6.26,7.71,1.45,105.0,105.0
2,2001,3.2,-2.46,-3.23,5.67,6.43,1.45,105.0,105.0
3,2002,-19.92,-6.69,-2.16,-13.22,-17.76,1.51,108.0,108.0
4,2003,30.56,22.48,25.32,8.08,5.24,1.38,1.38,1.38
5,2004,10.29,11.48,15.24,-1.19,-4.95,1.21,1.21,1.21
6,2005,2.76,7.04,6.56,-4.28,-3.8,1.17,89.0,89.0
7,2006,10.65,12.95,16.61,-2.3,-5.96,1.17,63.0,63.0
8,2007,-3.89,8.63,11.39,-12.52,-15.27,1.14,112.0,112.0
9,2008,-31.64,-22.19,-28.98,-9.45,-2.65,1.26,128.0,128.0
10,2009,32.72,21.77,24.37,10.95,8.35,1.42,232.0,232.0
11,2010,13.42,12.33,10.58,1.09,2.84,1.37,204.0,204.0
12,2011,-7.77,0.59,-3.99,-8.36,-3.78,1.35,77.0,75.0
13,2012,10.17,12.04,10.74,-1.87,-0.57,1.37,59.0,61.0
14,2013,17.79,14.31,10.07,3.48,7.72,1.35,37.0,12.0
15,YTD,1.47,5.81,3.26,-4.34,-1.79,-1.79,-1.79,81.0
