,Year,CSVFX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,29.76,-19.73,-17.51,49.5,47.28,1.13,278.0,3.0
1,2002,-8.56,-14.95,-19.36,6.38,10.8,1.23,198.0,20.0
2,2003,36.45,40.83,34.49,-4.38,1.96,1.05,68.0,27.0
3,2004,15.7,20.91,15.27,-5.21,0.43,1.02,1.02,62.0
4,2005,7.38,16.62,11.61,-9.24,-4.23,0.99,80.0,68.0
5,2006,14.58,26.65,19.72,-12.07,-5.13,0.99,82.0,46.0
6,2007,14.77,16.65,11.28,-1.88,3.5,0.98,139.0,5.0
7,2008,-41.51,-45.53,-41.91,4.02,0.4,0.97,88.0,81.0
8,2009,37.14,41.45,35.27,-4.31,1.87,0.99,117.0,36.0
9,2010,17.25,11.15,13.74,6.1,3.51,1.0,67.0,32.0
10,2011,-8.89,-13.71,-7.93,4.81,-0.96,1.0,62.0,92.0
11,2012,17.19,16.83,15.84,0.36,1.35,0.95,97.0,28.0
12,2013,20.38,15.29,25.19,5.1,-4.8,1.01,60.0,74.0
13,YTD,3.22,-0.27,4.54,3.49,-1.32,1.0,75.0,66.0
