,Year,SSCVX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.0,21.04,19.95,-20.04,-18.95,-18.95,41.0,60.0
1,2000,26.55,-9.1,11.89,35.65,14.66,1.96,41.0,18.0
2,2001,16.18,-11.89,8.92,28.07,7.27,1.75,38.0,52.0
3,2002,-17.45,-22.1,-16.22,4.65,-1.23,1.88,32.0,91.0
4,2003,48.96,28.68,43.41,20.27,5.55,1.81,1.81,21.0
5,2004,20.58,10.88,18.94,9.7,1.64,1.75,1.75,36.0
6,2005,-3.08,4.91,6.75,-8.0,-9.83,1.76,25.0,96.0
7,2006,21.38,15.79,15.03,5.59,6.35,1.74,35.0,7.0
8,2007,6.26,5.49,-1.1,0.76,7.35,1.71,27.0,11.0
9,2008,-41.19,-37.0,-36.56,-4.19,-4.63,1.89,16.0,82.0
10,2009,36.4,26.46,31.8,9.94,4.6,1.69,7.0,24.0
11,2010,26.85,15.06,25.61,11.78,1.24,1.33,5.0,35.0
12,2011,-9.42,2.11,-4.07,-11.53,-5.35,1.42,18.0,89.0
13,2012,15.44,16.0,15.46,-0.56,-0.02,1.41,3.0,49.0
14,2013,48.15,32.39,37.39,15.76,10.76,1.39,9.0,4.0
15,YTD,3.33,13.98,1.83,-10.64,1.51,1.4,22.0,35.0
