,Year,PRISX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.7,24.93,-1.79,-23.23,3.49,1.14,37.0,30.0
1,2000,36.76,-13.18,27.74,49.94,9.01,1.0,33.0,13.0
2,2001,-3.13,-16.82,-2.05,13.69,-1.08,0.97,55.0,35.0
3,2002,-10.1,-19.89,-10.28,9.79,0.18,1.0,50.0,36.0
4,2003,35.08,33.11,33.56,1.97,1.52,0.97,0.97,36.0
5,2004,13.42,14.72,14.02,-1.3,-0.6,0.93,0.93,47.0
6,2005,5.1,9.49,6.74,-4.38,-1.63,0.93,56.0,63.0
7,2006,15.98,20.07,16.9,-4.08,-0.92,0.9,113.0,67.0
8,2007,-9.35,9.04,-11.64,-18.38,2.29,0.91,140.0,45.0
9,2008,-40.06,-40.71,-43.91,0.65,3.85,1.0,123.0,25.0
10,2009,28.44,29.99,25.26,-1.55,3.18,1.02,84.0,41.0
11,2010,12.9,11.76,11.13,1.13,1.76,0.96,56.0,35.0
12,2011,-15.28,-5.54,-15.12,-9.74,-0.16,0.98,40.0,54.0
13,2012,27.48,15.83,24.77,11.65,2.71,0.94,43.0,35.0
14,2013,38.93,26.68,34.57,12.26,4.36,0.88,49.0,25.0
15,YTD,7.29,6.66,4.86,0.64,2.43,2.43,2.43,32.0
