,Year,VWUSX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,22.28,21.04,38.87,1.23,-16.6,-16.6,49.0,82.0
1,2000,-20.17,-9.1,-13.05,-11.06,-7.12,0.36,76.0,79.0
2,2001,-31.7,-11.89,-22.3,-19.81,-9.39,0.44,135.0,85.0
3,2002,-35.8,-22.1,-27.64,-13.7,-8.16,0.5,53.0,92.0
4,2003,26.1,28.68,28.66,-2.58,-2.55,0.55,47.0,58.0
5,2004,7.03,10.88,7.81,-3.86,-0.78,0.53,0.53,55.0
6,2005,11.15,4.91,6.71,6.24,4.44,0.52,38.0,18.0
7,2006,1.77,15.79,7.05,-14.03,-5.29,0.58,48.0,88.0
8,2007,10.15,5.49,13.35,4.66,-3.2,0.49,51.0,68.0
9,2008,-37.82,-37.0,-40.67,-0.82,2.85,0.43,107.0,28.0
10,2009,34.95,26.46,35.68,8.49,-0.73,0.49,101.0,47.0
11,2010,11.53,15.06,15.53,-3.53,-3.99,0.45,74.0,83.0
12,2011,-0.68,2.11,-2.46,-2.79,1.78,0.44,89.0,36.0
13,2012,18.43,16.0,15.34,2.42,3.09,0.45,43.0,18.0
14,2013,35.49,32.39,33.92,3.1,1.57,0.45,38.0,32.0
15,YTD,14.01,13.98,10.79,0.04,3.22,0.44,36.0,16.0
