,Year,JMUEX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,14.88,21.04,20.16,-6.17,-5.28,-5.28,84.0,74.0
1,2000,-6.37,-9.1,-6.31,2.73,-0.07,-0.07,89.0,38.0
2,2001,-9.3,-11.89,-13.5,2.59,4.2,4.2,81.0,16.0
3,2002,-26.49,-22.1,-22.25,-4.39,-4.24,0.64,83.0,89.0
4,2003,32.63,28.68,27.05,3.94,5.58,0.64,0.64,9.0
5,2004,10.96,10.88,10.02,0.08,0.94,0.64,0.64,33.0
6,2005,2.63,4.91,5.88,-2.28,-3.25,0.64,83.0,86.0
7,2006,17.31,15.79,14.17,1.51,3.14,0.64,85.0,8.0
8,2007,10.54,5.49,6.16,5.05,4.38,0.64,112.0,15.0
9,2008,-34.63,-37.0,-37.79,2.36,3.16,0.64,103.0,20.0
10,2009,33.27,26.46,28.17,6.81,5.1,0.64,101.0,17.0
11,2010,14.5,15.06,14.01,-0.57,0.49,0.64,84.0,39.0
12,2011,-1.53,2.11,-1.27,-3.64,-0.25,0.64,69.0,57.0
13,2012,17.35,16.0,14.96,1.34,2.38,0.64,83.0,16.0
14,2013,36.04,32.39,31.5,3.65,4.54,0.64,88.0,15.0
15,YTD,13.36,13.98,11.28,-0.61,2.08,0.64,73.0,29.0
