,Year,VNYTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.35,-2.06,-4.71,-1.3,1.36,0.2,5.0,7.0
1,2000,13.76,11.68,11.93,2.08,1.83,0.2,21.0,12.0
2,2001,4.13,5.13,3.83,-0.99,0.3,0.2,12.0,22.0
3,2002,10.76,9.6,8.91,1.16,1.85,0.18,16.0,4.0
4,2003,5.35,5.31,4.96,0.04,0.39,0.17,0.17,8.0
5,2004,3.96,4.48,3.69,-0.52,0.27,0.14,0.14,11.0
6,2005,2.82,3.51,3.25,-0.7,-0.43,0.16,12.0,59.0
7,2006,4.84,4.84,4.77,-0.0,0.07,0.16,9.0,30.0
8,2007,2.41,3.36,1.5,-0.95,0.91,0.15,10.0,34.0
9,2008,-3.69,-2.47,-9.21,-1.22,5.52,0.15,38.0,23.0
10,2009,12.53,12.91,18.31,-0.38,-5.78,0.2,29.0,84.0
11,2010,1.83,2.38,1.7,-0.54,0.14,0.2,29.0,47.0
12,2011,9.62,10.7,9.85,-1.08,-0.22,0.2,22.0,52.0
13,2012,6.94,6.78,8.18,0.16,-1.24,0.2,16.0,67.0
14,2013,-2.93,-2.55,-5.32,-0.38,2.39,0.2,23.0,3.0
15,YTD,9.96,8.5,9.94,1.45,0.02,0.02,0.02,39.0
