,Year,PRNHX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,32.52,21.04,64.77,11.48,-32.25,0.9,45.0,74.0
1,2000,-1.86,-9.1,-3.85,7.25,1.99,0.88,47.0,43.0
2,2001,-2.84,-11.89,-8.91,9.05,6.07,0.91,27.0,34.0
3,2002,-26.6,-22.1,-27.88,-4.5,1.28,0.92,24.0,46.0
4,2003,49.31,28.68,45.54,20.62,3.77,0.91,0.91,26.0
5,2004,17.9,10.88,12.41,7.02,5.49,0.87,0.87,21.0
6,2005,11.9,4.91,6.02,6.99,5.88,0.84,24.0,13.0
7,2006,7.39,15.79,10.81,-8.4,-3.42,0.82,23.0,75.0
8,2007,6.25,5.49,7.59,0.75,-1.34,0.79,28.0,56.0
9,2008,-38.78,-37.0,-41.55,-1.79,2.77,0.84,26.0,26.0
10,2009,43.87,26.46,35.46,17.4,8.41,0.85,27.0,19.0
11,2010,34.67,15.06,26.98,19.61,7.69,0.81,46.0,12.0
12,2011,6.63,2.11,-3.55,4.52,10.18,0.81,44.0,2.0
13,2012,16.2,16.0,13.15,0.2,3.05,0.8,35.0,22.0
14,2013,49.11,32.39,40.91,16.72,8.2,0.8,35.0,10.0
15,YTD,4.8,13.98,0.47,-9.18,4.33,4.33,4.33,14.0
