,Year,IMNTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.77,-2.06,-4.03,-1.71,0.27,0.27,0.27,43.0
1,2000,10.03,11.68,10.11,-1.66,-0.08,-0.08,18.0,56.0
2,2001,4.9,5.13,4.46,-0.23,0.44,0.84,4.0,23.0
3,2002,7.79,9.6,8.01,-1.81,-0.22,0.83,36.0,66.0
4,2003,5.02,5.31,5.14,-0.3,-0.13,0.84,73.0,44.0
5,2004,3.6,4.48,3.89,-0.88,-0.29,0.84,0.84,65.0
6,2005,2.3,3.51,3.11,-1.21,-0.81,0.85,15.0,77.0
7,2006,4.28,4.84,4.19,-0.56,0.09,0.79,3.0,43.0
8,2007,1.76,3.36,1.35,-1.6,0.41,0.79,26.0,55.0
9,2008,-4.52,-2.47,-6.48,-2.04,1.97,0.79,23.0,47.0
10,2009,15.72,12.91,15.72,2.8,-0.0,0.79,33.0,29.0
11,2010,1.58,2.38,1.62,-0.79,-0.03,0.79,21.0,47.0
12,2011,11.0,10.7,10.32,0.3,0.68,0.79,22.0,17.0
13,2012,7.74,6.78,6.66,0.96,1.08,0.79,8.0,21.0
14,2013,-2.68,-2.55,-3.07,-0.13,0.39,0.82,14.0,31.0
15,YTD,8.91,8.5,7.92,0.4,0.98,0.83,12.0,28.0
