,Year,MAEFX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,15.27,30.63,30.54,-15.36,-15.27,-15.27,61.0,86.0
1,2000,7.62,-15.31,-9.12,22.93,16.73,0.97,100.0,4.0
2,2001,-16.27,-19.73,-19.15,3.46,2.87,1.06,38.0,17.0
3,2002,-12.51,-14.95,-13.89,2.44,1.38,1.31,40.0,28.0
4,2003,35.09,40.83,39.0,-5.74,-3.91,1.08,1.08,58.0
5,2004,19.95,20.91,21.4,-0.95,-1.45,1.05,1.05,38.0
6,2005,10.0,16.62,15.27,-6.62,-5.27,0.99,72.0,58.0
7,2006,33.81,26.65,33.56,7.16,0.25,0.99,76.0,36.0
8,2007,12.75,16.65,12.52,-3.9,0.23,1.01,63.0,58.0
9,2008,-44.58,-45.53,-49.79,0.95,5.21,1.03,30.0,20.0
10,2009,33.12,41.45,47.32,-8.33,-14.2,1.11,124.0,42.0
11,2010,0.95,11.15,10.51,-10.2,-9.57,1.08,161.0,84.0
12,2011,-14.56,-13.71,-15.15,-0.86,0.58,1.05,148.0,52.0
13,2012,25.43,16.83,20.94,8.6,4.49,1.17,162.0,19.0
14,2013,27.28,15.29,26.52,12.0,0.76,1.07,115.0,38.0
15,YTD,-5.41,-0.27,-4.09,-5.14,-1.32,1.02,129.0,76.0
