,Year,SSGRX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,15.49,24.93,32.83,-9.45,-17.34,-17.34,-17.34,94.0
1,2000,84.14,-13.18,45.89,97.32,38.25,1.72,47.0,5.0
2,2001,-2.81,-16.82,-13.13,14.02,10.32,1.61,38.0,9.0
3,2002,4.9,-19.89,-11.49,24.78,16.39,1.74,38.0,4.0
4,2003,60.24,33.11,32.28,27.14,27.96,1.6,33.0,4.0
5,2004,47.62,14.72,33.42,32.9,14.2,1.34,1.34,3.0
6,2005,56.79,9.49,46.33,47.31,10.46,1.34,9.0,6.0
7,2006,5.03,20.07,12.05,-15.03,-7.02,1.3,27.0,93.0
8,2007,32.41,9.04,42.09,23.38,-9.68,1.29,15.0,92.0
9,2008,-53.39,-40.71,-51.12,-12.68,-2.27,1.25,32.0,59.0
10,2009,77.14,29.99,44.36,47.15,32.78,1.31,25.0,4.0
11,2010,24.57,11.76,17.14,12.8,7.42,1.35,16.0,13.0
12,2011,-14.59,-5.54,-7.54,-9.05,-7.05,1.27,40.0,81.0
13,2012,-10.16,15.83,1.21,-25.98,-11.37,1.33,15.0,96.0
14,2013,13.72,26.68,22.85,-12.96,-9.13,1.34,132.0,94.0
15,YTD,-22.39,6.66,-13.55,-29.05,-8.85,1.31,56.0,87.0
