,Year,FLVCX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,3.23,-11.89,6.67,15.12,-3.44,0.83,230.0,25.0
1,2002,-1.77,-22.1,-13.25,20.33,11.48,0.93,185.0,2.0
2,2003,96.31,28.68,33.85,67.63,62.46,0.83,79.0,1.0
3,2004,24.46,10.88,17.85,13.57,6.61,0.85,0.85,6.0
4,2005,17.47,4.91,8.82,12.56,8.65,0.84,16.0,5.0
5,2006,17.57,15.79,15.87,1.78,1.7,0.85,23.0,20.0
6,2007,17.9,5.49,0.83,12.41,17.08,0.83,20.0,5.0
7,2008,-54.53,-37.0,-36.77,-17.54,-17.77,0.82,30.0,98.0
8,2009,59.56,26.46,35.41,33.1,24.15,0.92,34.0,8.0
9,2010,24.51,15.06,21.92,9.45,2.59,0.88,21.0,39.0
10,2011,-10.62,2.11,-3.96,-12.73,-6.67,0.84,18.0,90.0
11,2012,28.82,16.0,16.6,12.81,12.22,0.85,29.0,3.0
12,2013,35.11,32.39,35.14,2.72,-0.03,0.82,21.0,42.0
13,YTD,4.4,13.98,8.68,-9.57,-4.28,0.79,10.0,91.0
