,Year,FUGAX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,43.59,24.93,15.87,18.65,27.72,27.72,27.72,2.0
1,2000,-27.62,-13.18,8.42,-14.44,-36.04,1.17,172.0,96.0
2,2001,-15.63,-16.82,-20.74,1.19,5.1,1.2,220.0,28.0
3,2002,-29.83,-19.89,-23.82,-9.94,-6.0,1.36,103.0,78.0
4,2003,27.94,33.11,23.65,-5.17,4.3,1.47,81.0,23.0
5,2004,22.6,14.72,23.96,7.88,-1.36,1.45,1.45,59.0
6,2005,8.87,9.49,13.59,-0.62,-4.72,1.39,44.0,78.0
7,2006,31.83,20.07,26.03,11.76,5.8,1.32,64.0,7.0
8,2007,20.63,9.04,20.39,11.59,0.23,1.26,118.0,44.0
9,2008,-35.41,-40.71,-33.87,5.3,-1.54,1.21,77.0,65.0
10,2009,14.41,29.99,17.82,-15.57,-3.41,1.26,247.0,53.0
11,2010,10.83,11.76,8.6,-0.93,2.23,1.22,216.0,41.0
12,2011,12.7,-5.54,10.58,18.24,2.12,1.2,201.0,41.0
13,2012,6.72,15.83,6.9,-9.11,-0.18,1.22,195.0,41.0
14,2013,20.07,26.68,18.37,-6.61,1.69,1.16,154.0,39.0
15,YTD,20.32,6.66,16.85,13.67,3.47,1.15,112.0,24.0
