,Year,MBDVX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.86,21.04,6.72,-19.18,-4.86,-4.86,20.0,68.0
1,2000,10.76,-9.1,7.87,19.87,2.9,1.97,32.0,35.0
2,2001,-5.11,-11.89,-4.99,6.78,-0.12,2.11,61.0,48.0
3,2002,-12.17,-22.1,-18.69,9.93,6.52,1.98,26.0,6.0
4,2003,25.0,28.68,28.44,-3.68,-3.44,1.98,12.0,78.0
5,2004,14.07,10.88,12.97,3.19,1.1,1.94,1.94,34.0
6,2005,11.41,4.91,5.95,6.5,5.46,1.89,4.0,7.0
7,2006,18.11,15.79,18.15,2.31,-0.05,1.84,2.0,52.0
8,2007,13.52,5.49,1.42,8.03,12.1,1.82,9.0,2.0
9,2008,-33.31,-37.0,-37.09,3.68,3.78,1.8,2.0,19.0
10,2009,20.89,26.46,24.13,-5.58,-3.24,1.86,7.0,61.0
11,2010,12.04,15.06,13.66,-3.02,-1.62,1.83,4.0,71.0
12,2011,4.8,2.11,-0.75,2.69,5.55,1.81,5.0,16.0
13,2012,10.95,16.0,14.57,-5.05,-3.61,1.79,3.0,87.0
14,2013,23.46,32.39,31.21,-8.93,-7.76,1.73,15.0,94.0
15,YTD,7.68,13.98,10.25,-6.3,-2.57,1.71,6.0,88.0
