,Year,OMBAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,10.47,8.44,7.64,2.02,2.82,2.82,14.0,4.0
1,2002,9.88,10.26,8.04,-0.38,1.84,1.84,30.0,3.0
2,2003,3.14,4.1,5.1,-0.96,-1.96,0.65,36.0,6.0
3,2004,4.33,4.34,3.91,-0.01,0.42,0.75,0.75,7.0
4,2005,2.41,2.43,1.8,-0.02,0.61,0.65,25.0,23.0
5,2006,4.29,4.33,4.15,-0.04,0.14,0.65,16.0,15.0
6,2007,6.18,6.97,4.7,-0.79,1.48,0.65,18.0,48.0
7,2008,2.28,5.24,-4.7,-2.96,6.97,0.65,16.0,75.0
8,2009,14.51,5.93,13.97,8.58,0.54,0.65,15.0,5.0
9,2010,8.51,6.54,7.72,1.97,0.8,0.64,21.0,29.0
10,2011,6.03,7.84,5.86,-1.81,0.17,0.64,30.0,56.0
11,2012,4.87,4.21,7.01,0.65,-2.14,0.64,21.0,76.0
12,2013,-0.9,-2.02,-1.42,1.13,0.53,0.64,19.0,27.0
13,YTD,4.47,5.87,5.34,-1.4,-0.87,0.65,9.0,82.0
