,Year,BMCAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.08,21.04,20.16,-24.12,-23.24,1.22,1.22,86.0
1,2000,25.99,-9.1,-6.31,35.1,32.3,1.26,31.0,23.0
2,2001,18.06,-11.89,-13.5,29.95,31.57,1.25,116.0,14.0
3,2002,-19.98,-22.1,-22.25,2.12,2.27,1.25,69.0,81.0
4,2003,34.57,28.68,27.05,5.89,7.53,1.29,66.0,41.0
5,2004,23.3,10.88,10.02,12.42,13.28,1.28,1.28,13.0
6,2005,10.06,4.91,5.88,5.15,4.19,1.25,60.0,44.0
7,2006,19.47,15.79,14.17,3.68,5.31,1.25,153.0,17.0
8,2007,4.45,5.49,6.16,-1.05,-1.71,1.25,202.0,26.0
9,2008,-38.71,-37.0,-37.79,-1.71,-0.92,1.25,117.0,65.0
10,2009,33.81,26.46,28.17,7.34,5.64,1.26,181.0,52.0
11,2010,20.59,15.06,14.01,5.53,6.59,1.29,123.0,65.0
12,2011,-5.57,2.11,-1.27,-7.68,-4.3,1.29,137.0,63.0
13,2012,10.94,16.0,14.96,-5.06,-4.02,1.29,156.0,88.0
14,2013,23.74,32.39,31.5,-8.65,-7.76,1.29,119.0,94.0
15,YTD,-0.13,13.98,11.28,-14.1,-11.41,-11.41,102.0,99.0
