,Year,FMAGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,24.05,21.04,38.87,3.0,-14.83,-14.83,-14.83,25.0
1,2000,-9.29,-9.1,-13.05,-0.19,3.75,0.74,0.74,57.0
2,2001,-11.65,-11.89,-22.3,0.23,10.65,0.88,17.0,33.0
3,2002,-23.66,-22.1,-27.64,-1.56,3.98,0.88,5.0,70.0
4,2003,24.82,28.68,28.66,-3.86,-3.84,0.76,21.0,70.0
5,2004,7.49,10.88,7.81,-3.39,-0.31,0.7,0.7,81.0
6,2005,6.42,4.91,6.71,1.51,-0.29,0.62,6.0,39.0
7,2006,7.22,15.79,7.05,-8.58,0.16,0.56,74.0,49.0
8,2007,18.83,5.49,13.35,13.33,5.47,0.53,41.0,21.0
9,2008,-49.4,-37.0,-40.67,-12.4,-8.73,0.72,57.0,95.0
10,2009,41.13,26.46,35.68,14.67,5.45,0.71,67.0,23.0
11,2010,12.41,15.06,15.53,-2.66,-3.12,0.74,39.0,76.0
12,2011,-11.55,2.11,-2.46,-13.66,-9.09,0.59,42.0,97.0
13,2012,17.99,16.0,15.34,1.99,2.65,0.53,99.0,21.0
14,2013,35.3,32.39,33.92,2.91,1.38,0.46,88.0,34.0
15,YTD,14.19,13.98,10.79,0.22,3.41,0.5,77.0,14.0
