,Year,FTABX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,,,,,,,34.0,34.0
1,2002,10.69,9.6,8.45,1.09,2.24,2.24,28.0,4.0
2,2003,6.18,5.31,4.9,0.87,1.28,0.14,28.0,9.0
3,2004,4.84,4.48,3.77,0.36,1.06,0.23,0.23,14.0
4,2005,3.79,3.51,3.1,0.27,0.69,0.22,20.0,20.0
5,2006,4.85,4.84,4.57,0.01,0.28,0.17,15.0,29.0
6,2007,3.19,3.36,1.27,-0.17,1.93,0.17,13.0,7.0
7,2008,-3.38,-2.47,-9.45,-0.91,6.06,0.18,12.0,13.0
8,2009,13.26,12.91,17.3,0.35,-4.04,0.22,20.0,76.0
9,2010,2.12,2.38,1.65,-0.26,0.46,0.25,14.0,38.0
10,2011,10.91,10.7,10.64,0.21,0.27,0.24,18.0,36.0
11,2012,8.17,6.78,8.87,1.39,-0.7,0.25,8.0,61.0
12,2013,-2.83,-2.55,-4.59,-0.28,1.76,0.25,5.0,7.0
13,YTD,9.96,8.5,9.8,1.46,0.17,0.25,14.0,48.0
