,Year,HLTAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.49,-2.06,-2.06,-0.44,-0.43,-0.43,-0.43,69.0
1,2000,8.69,11.68,9.16,-2.99,-0.47,-0.47,101.0,59.0
2,2001,4.71,5.13,4.39,-0.41,0.32,0.58,65.0,34.0
3,2002,7.36,9.6,8.57,-2.24,-1.21,0.59,94.0,82.0
4,2003,4.72,5.31,4.1,-0.59,0.63,0.59,74.0,20.0
5,2004,2.73,4.48,2.83,-1.75,-0.1,0.59,0.59,50.0
6,2005,2.3,3.51,1.8,-1.21,0.5,0.6,39.0,29.0
7,2006,3.89,4.84,3.67,-0.95,0.22,0.59,28.0,34.0
8,2007,3.45,3.36,2.75,0.09,0.7,0.59,39.0,29.0
9,2008,-1.34,-2.47,-2.32,1.13,0.98,0.62,29.0,46.0
10,2009,10.52,12.91,11.41,-2.4,-0.89,0.63,12.0,53.0
11,2010,2.72,2.38,2.22,0.34,0.5,0.68,18.0,35.0
12,2011,7.73,10.7,9.0,-2.97,-1.27,0.62,18.0,76.0
13,2012,4.56,6.78,5.62,-2.22,-1.06,0.61,6.0,68.0
14,2013,-1.37,-2.55,-2.27,1.19,0.9,0.62,13.0,19.0
15,YTD,5.98,8.5,6.44,-2.53,-0.47,0.62,3.0,61.0
