,Year,TRBCX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,20.0,21.04,38.87,-1.04,-18.88,0.91,41.0,86.0
1,2000,-2.53,-9.1,-13.05,6.58,10.52,0.91,51.0,12.0
2,2001,-14.42,-11.89,-22.3,-2.53,7.89,0.96,48.0,20.0
3,2002,-24.23,-22.1,-27.64,-2.13,3.41,0.96,46.0,29.0
4,2003,29.75,28.68,28.66,1.07,1.1,0.95,0.95,34.0
5,2004,9.25,10.88,7.81,-1.63,1.44,0.88,0.88,36.0
6,2005,5.95,4.91,6.71,1.03,-0.77,0.85,44.0,53.0
7,2006,9.73,15.79,7.05,-6.07,2.67,0.81,39.0,25.0
8,2007,13.02,5.49,13.35,7.53,-0.33,0.77,32.0,48.0
9,2008,-42.62,-37.0,-40.67,-5.63,-1.96,0.8,54.0,69.0
10,2009,42.57,26.46,35.68,16.1,6.89,0.81,60.0,20.0
11,2010,16.42,15.06,15.53,1.35,0.89,0.77,47.0,39.0
12,2011,1.5,2.11,-2.46,-0.61,3.96,0.77,44.0,17.0
13,2012,18.41,16.0,15.34,2.41,3.07,0.76,24.0,18.0
14,2013,41.57,32.39,33.92,9.19,7.65,0.74,35.0,7.0
15,YTD,10.76,13.98,10.79,-3.22,-0.03,-0.03,-0.03,52.0
