,Year,HLQVX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,11.89,21.04,6.72,-9.15,5.17,5.17,41.0,24.0
1,2000,6.06,-9.1,7.87,15.16,-1.81,0.96,132.0,58.0
2,2001,-13.03,-11.89,-4.99,-1.14,-8.04,0.96,127.0,91.0
3,2002,-22.66,-22.1,-18.69,-0.56,-3.97,0.98,126.0,79.0
4,2003,29.64,28.68,28.44,0.96,1.21,0.97,85.0,36.0
5,2004,15.15,10.88,12.97,4.27,2.18,0.93,0.93,22.0
6,2005,4.07,4.91,5.95,-0.85,-1.89,0.82,112.0,71.0
7,2006,20.42,15.79,18.15,4.62,2.26,0.83,72.0,21.0
8,2007,-1.15,5.49,1.42,-6.65,-2.58,0.82,77.0,70.0
9,2008,-39.06,-37.0,-37.09,-2.06,-1.97,0.84,93.0,69.0
10,2009,32.59,26.46,24.13,6.12,8.46,0.91,108.0,12.0
11,2010,12.48,15.06,13.66,-2.59,-1.19,0.85,86.0,63.0
12,2011,-4.78,2.11,-0.75,-6.89,-4.04,0.8,65.0,78.0
13,2012,16.43,16.0,14.57,0.43,1.87,0.79,144.0,29.0
14,2013,35.86,32.39,31.21,3.47,4.65,0.78,119.0,12.0
15,YTD,12.99,13.98,10.25,-0.99,2.74,0.79,168.0,12.0
