,Year,NLGIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,25.61,21.04,38.87,4.57,-13.27,-13.27,159.0,20.0
1,2000,4.6,-9.1,-13.05,13.7,17.65,0.5,161.0,9.0
2,2001,-14.35,-11.89,-22.3,-2.46,7.95,0.5,58.0,66.0
3,2002,-20.8,-22.1,-27.64,1.3,6.84,0.5,33.0,29.0
4,2003,34.03,28.68,28.66,5.34,5.37,0.5,13.0,7.0
5,2004,14.27,10.88,7.81,3.39,6.46,0.5,0.5,9.0
6,2005,9.5,4.91,6.71,4.59,2.78,0.5,13.0,12.0
7,2006,16.53,15.79,7.05,0.73,9.47,0.5,30.0,14.0
8,2007,10.25,5.49,13.35,4.75,-3.11,0.5,8.0,16.0
9,2008,-39.47,-37.0,-40.67,-2.47,1.2,0.5,21.0,70.0
10,2009,34.87,26.46,35.68,8.4,-0.81,0.5,45.0,14.0
11,2010,19.03,15.06,15.53,3.96,3.5,0.5,19.0,8.0
12,2011,-4.8,2.11,-2.46,-6.91,-2.33,0.51,36.0,82.0
13,2012,14.35,16.0,15.34,-1.65,-0.99,0.45,86.0,58.0
14,2013,26.07,32.39,33.92,-6.32,-7.85,0.48,26.0,97.0
15,YTD,8.24,13.98,10.79,-5.73,-2.54,0.5,18.0,80.0
