,Year,MALMX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.04,-2.06,0.74,4.09,1.3,1.3,40.0,15.0
1,2000,5.04,11.68,5.87,-6.65,-0.84,0.4,51.0,75.0
2,2001,5.18,5.13,4.77,0.05,0.41,0.44,52.0,28.0
3,2002,3.73,9.6,5.39,-5.88,-1.66,0.46,75.0,79.0
4,2003,1.52,5.31,2.44,-3.79,-0.92,0.42,45.0,84.0
5,2004,0.73,4.48,1.19,-3.75,-0.46,0.42,0.42,76.0
6,2005,1.47,3.51,1.21,-2.05,0.25,0.43,87.0,32.0
7,2006,2.72,4.84,2.95,-2.12,-0.23,0.44,83.0,69.0
8,2007,3.97,3.36,3.31,0.61,0.67,0.38,110.0,23.0
9,2008,3.8,-2.47,0.86,6.28,2.94,0.35,33.0,10.0
10,2009,3.72,12.91,5.91,-9.19,-2.19,0.35,21.0,83.0
11,2010,0.65,2.38,1.61,-1.73,-0.96,0.4,36.0,87.0
12,2011,1.75,10.7,3.6,-8.95,-1.85,0.4,44.0,79.0
13,2012,0.58,6.78,1.92,-6.2,-1.34,0.4,51.0,92.0
14,2013,0.58,-2.55,-0.07,3.14,0.65,0.4,41.0,19.0
15,YTD,0.41,8.5,1.6,-8.09,-1.19,0.4,56.0,88.0
