,Year,PRITX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,34.6,30.63,49.56,3.97,-14.96,0.85,18.0,52.0
1,2000,-17.09,-15.31,-21.04,-1.78,3.94,0.84,38.0,53.0
2,2001,-22.02,-19.73,-24.05,-2.28,2.03,0.9,17.0,55.0
3,2002,-18.18,-14.95,-19.15,-3.23,0.97,0.92,22.0,67.0
4,2003,31.28,40.83,33.83,-9.55,-2.55,0.95,0.95,61.0
5,2004,13.89,20.91,16.23,-7.02,-2.34,0.92,0.92,67.0
6,2005,16.27,16.62,15.23,-0.35,1.04,0.89,63.0,42.0
7,2006,19.26,26.65,23.95,-7.39,-4.69,0.87,65.0,87.0
8,2007,13.43,16.65,16.26,-3.22,-2.84,0.85,74.0,69.0
9,2008,-48.02,-45.53,-46.56,-2.49,-1.45,0.87,64.0,58.0
10,2009,52.2,41.45,38.02,10.76,14.18,0.91,65.0,11.0
11,2010,14.48,11.15,14.78,3.32,-0.31,0.87,55.0,42.0
12,2011,-12.33,-13.71,-12.3,1.37,-0.03,0.85,43.0,52.0
13,2012,18.72,16.83,17.7,1.89,1.02,0.85,34.0,43.0
14,2013,14.27,15.29,18.58,-1.01,-4.31,0.85,44.0,73.0
15,YTD,3.13,-0.27,-0.63,3.4,3.75,3.75,3.75,15.0
