,Year,MASKX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,20.79,21.04,19.95,-0.25,0.83,0.5,0.5,36.0
1,2000,-2.41,-9.1,11.89,6.69,-14.3,-14.3,-14.3,84.0
2,2001,1.88,-11.89,8.92,13.77,-7.03,0.5,0.5,78.0
3,2002,-20.61,-22.1,-16.22,1.49,-4.39,0.5,0.5,74.0
4,2003,46.32,28.68,43.41,17.64,2.91,0.6,0.6,29.0
5,2004,17.55,10.88,18.94,6.67,-1.39,0.56,0.56,61.0
6,2005,4.16,4.91,6.75,-0.76,-2.59,0.53,0.53,73.0
7,2006,17.49,15.79,15.03,1.69,2.46,0.49,40.0,22.0
8,2007,-1.92,5.49,-1.1,-7.41,-0.82,0.48,26.0,51.0
9,2008,-34.01,-37.0,-36.56,2.98,2.55,0.52,42.0,35.0
10,2009,26.67,26.46,31.8,0.2,-5.13,0.56,43.0,66.0
11,2010,26.77,15.06,25.61,11.7,1.16,0.52,42.0,37.0
12,2011,-4.49,2.11,-4.07,-6.6,-0.42,0.3,31.0,61.0
13,2012,16.1,16.0,15.46,0.09,0.64,0.28,68.0,39.0
14,2013,39.14,32.39,37.39,6.75,1.75,0.29,22.0,32.0
15,YTD,1.91,13.98,1.83,-12.07,0.08,0.08,0.08,55.0
