,Year,PRINX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.02,-2.06,-4.7,-1.96,0.69,0.5,80.0,36.0
1,2000,11.91,11.68,11.24,0.22,0.66,0.5,56.0,34.0
2,2001,5.22,5.13,3.92,0.09,1.31,0.5,53.0,8.0
3,2002,9.15,9.6,8.45,-0.45,0.7,0.5,47.0,37.0
4,2003,6.0,5.31,4.9,0.69,1.11,0.5,0.5,12.0
5,2004,5.16,4.48,3.77,0.68,1.38,0.5,0.5,7.0
6,2005,4.29,3.51,3.1,0.78,1.2,0.5,25.0,7.0
7,2006,5.48,4.84,4.57,0.64,0.92,0.5,19.0,12.0
8,2007,1.64,3.36,1.27,-1.72,0.37,0.5,37.0,49.0
9,2008,-8.04,-2.47,-9.45,-5.57,1.4,0.5,37.0,51.0
10,2009,18.69,12.91,17.3,5.78,1.4,0.5,25.0,30.0
11,2010,2.37,2.38,1.65,-0.01,0.71,0.5,12.0,28.0
12,2011,10.62,10.7,10.64,-0.08,-0.02,0.5,21.0,53.0
13,2012,9.86,6.78,8.87,3.08,0.99,0.5,10.0,32.0
14,2013,-3.74,-2.55,-4.59,-1.19,0.85,0.5,26.0,30.0
15,YTD,10.57,8.5,9.8,2.07,0.77,0.77,0.77,27.0
