,Year,FEXPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,41.8,21.04,38.87,20.76,2.93,2.93,2.93,32.0
1,2000,1.48,-9.1,-13.05,10.58,14.52,0.77,380.0,6.0
2,2001,0.72,-11.89,-22.3,12.61,23.03,0.81,170.0,2.0
3,2002,-18.66,-22.1,-27.64,3.44,8.98,0.78,178.0,16.0
4,2003,32.62,28.68,28.66,3.93,3.96,0.84,139.0,9.0
5,2004,13.59,10.88,7.81,2.7,5.78,0.83,0.83,12.0
6,2005,15.29,4.91,6.71,10.37,8.57,0.82,68.0,2.0
7,2006,8.43,15.79,7.05,-7.36,1.38,0.81,119.0,37.0
8,2007,15.29,5.49,13.35,9.79,1.93,0.81,47.0,36.0
9,2008,-43.36,-37.0,-40.67,-6.36,-2.69,0.81,53.0,74.0
10,2009,37.05,26.46,35.68,10.59,1.37,0.91,83.0,37.0
11,2010,11.9,15.06,15.53,-3.17,-3.63,0.84,197.0,80.0
12,2011,-3.67,2.11,-2.46,-5.78,-1.2,0.83,109.0,63.0
13,2012,16.04,16.0,15.34,0.04,0.7,0.82,97.0,38.0
14,2013,26.08,32.39,33.92,-6.31,-7.84,0.79,114.0,97.0
15,YTD,9.82,13.98,10.79,-4.16,-0.97,0.77,124.0,65.0
