,Year,ORNAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-5.07,-2.06,-3.71,-3.01,-1.35,-1.35,-1.35,66.0
1,2000,10.78,11.68,5.54,-0.9,5.24,0.96,12.0,2.0
2,2001,5.23,5.13,5.41,0.11,-0.17,0.82,37.0,36.0
3,2002,5.77,9.6,6.29,-3.83,-0.52,0.89,127.0,62.0
4,2003,14.93,5.31,7.01,9.62,7.92,1.04,57.0,2.0
5,2004,10.56,4.48,6.57,6.08,3.98,0.8,0.8,4.0
6,2005,9.96,3.51,6.35,6.45,3.61,0.69,22.0,1.0
7,2006,10.56,4.84,7.14,5.72,3.42,0.67,24.0,3.0
8,2007,-10.33,3.36,-3.31,-13.69,-7.02,0.63,6.0,97.0
9,2008,-48.9,-2.47,-25.27,-46.42,-23.63,0.79,37.0,98.0
10,2009,51.35,12.91,30.89,38.43,20.45,1.63,20.0,1.0
11,2010,1.76,2.38,3.77,-0.62,-2.01,0.86,16.0,92.0
12,2011,11.7,10.7,10.18,1.0,1.52,0.64,18.0,20.0
13,2012,18.86,6.78,13.82,12.08,5.04,0.64,11.0,8.0
14,2013,-7.17,-2.55,-5.99,-4.62,-1.18,0.73,18.0,83.0
15,YTD,15.4,8.5,12.88,6.9,2.53,0.71,16.0,15.0
