,Year,TILCX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,,,,,,,58.0,58.0
1,2001,4.44,-11.89,-4.99,16.33,9.43,0.65,106.0,8.0
2,2002,-14.64,-22.1,-18.69,7.46,4.05,0.65,25.0,19.0
3,2003,29.66,28.68,28.44,0.97,1.22,0.65,0.65,35.0
4,2004,16.09,10.88,12.97,5.21,3.12,0.65,0.65,17.0
5,2005,4.83,4.91,5.95,-0.09,-1.13,0.65,24.0,60.0
6,2006,20.94,15.79,18.15,5.15,2.79,0.65,25.0,16.0
7,2007,1.76,5.49,1.42,-3.73,0.34,0.65,22.0,50.0
8,2008,-36.17,-37.0,-37.09,0.83,0.92,0.64,18.0,45.0
9,2009,28.09,26.46,24.13,1.63,3.96,0.63,15.0,22.0
10,2010,13.27,15.06,13.66,-1.79,-0.39,0.6,17.0,52.0
11,2011,-1.19,2.11,-0.75,-3.3,-0.44,0.59,19.0,52.0
12,2012,17.85,16.0,14.57,1.85,3.29,0.59,17.0,15.0
13,2013,33.98,32.39,31.21,1.59,2.76,0.58,10.0,27.0
14,YTD,12.84,13.98,10.25,-1.14,2.59,2.59,2.59,14.0
