,Year,VGSIX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.04,24.93,-2.76,-28.97,-1.28,-1.28,29.0,62.0
1,2000,26.35,-13.18,27.02,39.53,-0.67,0.33,12.0,68.0
2,2001,12.35,-16.82,10.0,29.18,2.36,0.33,21.0,20.0
3,2002,3.75,-19.89,4.54,23.64,-0.79,0.28,10.0,54.0
4,2003,35.65,33.11,36.8,2.55,-1.15,0.27,12.0,58.0
5,2004,30.76,14.72,32.02,16.04,-1.26,0.24,0.24,68.0
6,2005,11.89,9.49,11.51,2.4,0.38,0.21,13.0,56.0
7,2006,35.07,20.07,33.58,15.0,1.49,0.21,17.0,46.0
8,2007,-16.46,9.04,-14.66,-25.5,-1.8,0.21,11.0,51.0
9,2008,-37.05,-40.71,-39.55,3.67,2.51,0.2,13.0,31.0
10,2009,29.58,29.99,31.26,-0.41,-1.69,0.21,10.0,50.0
11,2010,28.3,11.76,27.08,16.54,1.22,0.26,16.0,32.0
12,2011,8.47,-5.54,7.51,14.01,0.95,0.26,12.0,43.0
13,2012,17.53,15.83,17.6,1.7,-0.07,0.24,10.0,31.0
14,2013,2.31,26.68,1.55,-24.37,0.76,0.24,9.0,30.0
15,YTD,27.66,6.66,25.93,21.01,1.73,0.24,11.0,35.0
