,Year,FAGNX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,34.39,24.93,32.83,9.45,1.56,1.56,1.56,47.0
1,2000,25.73,-13.18,45.89,38.91,-20.16,1.37,90.0,70.0
2,2001,-10.84,-16.82,-13.13,5.99,2.29,1.37,130.0,35.0
3,2002,-11.53,-19.89,-11.49,8.36,-0.04,1.41,105.0,63.0
4,2003,29.62,33.11,32.28,-3.48,-2.66,1.47,41.0,49.0
5,2004,23.44,14.72,33.42,8.71,-9.99,1.47,1.47,94.0
6,2005,45.36,9.49,46.33,35.87,-0.97,1.39,125.0,50.0
7,2006,16.12,20.07,12.05,-3.95,4.06,1.38,139.0,17.0
8,2007,44.84,9.04,42.09,35.81,2.75,1.39,80.0,37.0
9,2008,-54.2,-40.71,-51.12,-13.48,-3.08,1.35,90.0,73.0
10,2009,46.32,29.99,44.36,16.33,1.95,1.45,148.0,32.0
11,2010,18.6,11.76,17.14,6.84,1.46,1.41,103.0,63.0
12,2011,-5.27,-5.54,-7.54,0.27,2.27,1.37,91.0,37.0
13,2012,4.23,15.83,1.21,-11.6,3.02,1.38,88.0,21.0
14,2013,23.58,26.68,22.85,-3.1,0.73,1.35,68.0,43.0
15,YTD,-12.27,6.66,-13.55,-18.93,1.27,1.34,112.0,50.0
