,Year,OREAX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,39.72,33.11,36.8,6.61,2.92,2.09,300.0,15.0
1,2004,36.3,14.72,32.02,21.58,4.28,1.44,117.0,16.0
2,2005,14.14,9.49,11.51,4.65,2.63,1.5,92.0,31.0
3,2006,35.52,20.07,33.58,15.46,1.94,1.5,77.0,37.0
4,2007,-14.78,9.04,-14.66,-23.81,-0.11,1.47,131.0,33.0
5,2008,-39.27,-40.71,-39.55,1.44,0.28,1.5,134.0,58.0
6,2009,29.97,29.99,31.26,-0.02,-1.3,1.5,137.0,41.0
7,2010,27.18,11.76,27.08,15.41,0.1,1.5,81.0,51.0
8,2011,8.12,-5.54,7.51,13.66,0.61,1.49,146.0,47.0
9,2012,15.65,15.83,17.6,-0.18,-1.95,1.5,98.0,78.0
10,2013,2.84,26.68,1.55,-23.84,1.29,1.49,94.0,19.0
11,YTD,28.18,6.66,25.93,21.52,2.25,1.39,123.0,24.0
