,Year,VPAIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.66,-2.06,-4.22,-0.61,1.56,0.19,13.0,17.0
1,2000,12.77,11.68,10.33,1.09,2.45,0.19,11.0,6.0
2,2001,4.76,5.13,4.6,-0.36,0.16,0.2,13.0,47.0
3,2002,10.08,9.6,8.48,0.48,1.6,0.18,15.0,9.0
4,2003,5.6,5.31,4.82,0.29,0.78,0.17,0.17,16.0
5,2004,3.89,4.48,3.43,-0.58,0.46,0.14,0.14,30.0
6,2005,2.7,3.51,3.05,-0.81,-0.35,0.16,14.0,54.0
7,2006,4.81,4.84,4.4,-0.04,0.41,0.16,17.0,25.0
8,2007,2.78,3.36,1.67,-0.58,1.1,0.15,14.0,26.0
9,2008,-3.68,-2.47,-7.76,-1.2,4.08,0.15,24.0,28.0
10,2009,11.84,12.91,16.61,-1.08,-4.78,0.2,14.0,80.0
11,2010,1.9,2.38,1.48,-0.48,0.42,0.2,18.0,35.0
12,2011,10.05,10.7,9.84,-0.65,0.21,0.2,9.0,37.0
13,2012,6.94,6.78,7.47,0.16,-0.53,0.2,17.0,67.0
14,2013,-2.74,-2.55,-4.62,-0.18,1.88,0.2,17.0,21.0
15,YTD,10.03,8.5,9.46,1.53,0.57,0.57,0.57,35.0
