,Year,FSRBX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-10.07,24.93,-1.79,-35.0,-8.28,-8.28,-8.28,80.0
1,2000,18.28,-13.18,27.74,31.46,-9.47,1.19,94.0,85.0
2,2001,0.44,-16.82,-2.05,17.26,2.49,1.18,63.0,23.0
3,2002,-7.74,-19.89,-10.28,12.15,2.54,1.09,41.0,24.0
4,2003,32.29,33.11,33.56,-0.82,-1.27,1.1,33.0,46.0
5,2004,11.74,14.72,14.02,-2.98,-2.28,1.07,1.07,69.0
6,2005,-0.16,9.49,6.74,-9.65,-6.9,0.94,51.0,88.0
7,2006,13.14,20.07,16.9,-6.93,-3.77,0.92,70.0,85.0
8,2007,-21.18,9.04,-11.64,-30.22,-9.54,0.91,112.0,85.0
9,2008,-37.48,-40.71,-43.91,3.23,6.42,0.9,86.0,21.0
10,2009,5.05,29.99,25.26,-24.94,-20.21,0.93,199.0,90.0
11,2010,21.44,11.76,11.13,9.68,10.31,0.94,105.0,5.0
12,2011,-13.31,-5.54,-15.12,-7.77,1.8,0.88,73.0,37.0
13,2012,22.42,15.83,24.77,6.59,-2.36,0.87,91.0,60.0
14,2013,39.38,26.68,34.57,12.7,4.81,0.83,69.0,23.0
15,YTD,5.33,6.66,4.86,-1.32,0.47,0.8,91.0,48.0
