,Year,VTCIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,,,,,,0.1,12.0,12.0
1,2000,-10.07,-9.1,-6.31,-0.97,-3.77,0.1,17.0,36.0
2,2001,-15.26,-11.89,-13.5,-3.37,-1.76,0.08,13.0,23.0
3,2002,-23.37,-22.1,-22.25,-1.27,-1.12,0.08,10.0,22.0
4,2003,31.87,28.68,27.05,3.18,4.82,0.08,0.08,22.0
5,2004,11.78,10.88,10.02,0.9,1.76,0.07,0.07,17.0
6,2005,7.61,4.91,5.88,2.69,1.73,0.07,8.0,26.0
7,2006,14.5,15.79,14.17,-1.29,0.34,0.07,5.0,48.0
8,2007,6.13,5.49,6.16,0.64,-0.03,0.07,5.0,42.0
9,2008,-37.57,-37.0,-37.79,-0.58,0.22,0.07,8.0,51.0
10,2009,29.21,26.46,28.17,2.75,1.04,0.09,26.0,36.0
11,2010,16.08,15.06,14.01,1.01,2.07,0.08,7.0,18.0
12,2011,1.39,2.11,-1.27,-0.72,2.66,0.08,2.0,27.0
13,2012,16.41,16.0,14.96,0.41,1.45,0.08,3.0,27.0
14,2013,33.73,32.39,31.5,1.34,2.23,0.08,4.0,29.0
15,YTD,12.94,13.98,11.28,-1.03,1.66,1.66,1.66,36.0
