,Year,UMEMX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,67.35,30.63,70.56,36.72,-3.21,-3.21,-3.21,54.0
1,2000,-31.5,-15.31,-30.33,-16.19,-1.17,-1.17,57.0,52.0
2,2001,-1.8,-19.73,-3.83,17.94,2.03,1.65,30.0,30.0
3,2002,-5.38,-14.95,-6.05,9.57,0.68,1.59,11.0,43.0
4,2003,63.89,40.83,55.19,23.06,8.69,1.61,43.0,21.0
5,2004,30.02,20.91,23.54,9.11,6.47,1.65,1.65,11.0
6,2005,29.09,16.62,31.54,12.47,-2.45,1.7,21.0,66.0
7,2006,33.79,26.65,32.06,7.13,1.73,1.81,7.0,34.0
8,2007,26.95,16.65,36.68,10.3,-9.73,1.85,16.0,94.0
9,2008,-55.37,-45.53,-54.44,-9.84,-0.93,1.85,29.0,64.0
10,2009,76.88,41.45,73.81,35.43,3.06,1.7,82.0,30.0
11,2010,20.04,11.15,19.26,8.89,0.78,1.49,74.0,34.0
12,2011,-18.9,-13.71,-19.86,-5.19,0.95,1.4,78.0,46.0
13,2012,24.12,16.83,18.15,7.29,5.97,1.61,117.0,12.0
14,2013,-1.45,15.29,-0.14,-16.74,-1.31,1.52,81.0,49.0
15,YTD,1.96,-0.27,1.96,2.23,-0.0,1.41,80.0,50.0
