,Year,FRVAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.25,-2.06,-4.34,-2.2,0.09,0.09,9.0,48.0
1,2000,10.79,11.68,11.02,-0.89,-0.23,0.68,23.0,50.0
2,2001,4.56,5.13,4.32,-0.57,0.24,0.7,9.0,36.0
3,2002,7.72,9.6,8.53,-1.88,-0.81,0.69,15.0,76.0
4,2003,5.72,5.31,4.79,0.4,0.93,0.68,13.0,8.0
5,2004,5.43,4.48,3.84,0.95,1.59,0.68,0.68,7.0
6,2005,3.91,3.51,2.96,0.39,0.94,0.67,6.0,11.0
7,2006,4.41,4.84,4.41,-0.43,-0.0,0.67,6.0,38.0
8,2007,2.65,3.36,1.65,-0.71,1.0,0.66,9.0,18.0
9,2008,-5.2,-2.47,-10.07,-2.72,4.87,0.66,18.0,23.0
10,2009,14.66,12.91,19.1,1.74,-4.44,0.66,9.0,67.0
11,2010,0.64,2.38,1.18,-1.74,-0.54,0.65,6.0,67.0
12,2011,10.7,10.7,10.2,0.0,0.5,0.64,16.0,35.0
13,2012,6.81,6.78,7.57,0.03,-0.76,0.64,12.0,68.0
14,2013,-5.8,-2.55,-5.66,-3.25,-0.14,0.64,11.0,66.0
15,YTD,8.6,8.5,9.57,0.1,-0.97,0.64,12.0,69.0
