,Year,VBIIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.0,-0.82,-1.35,-2.18,-1.65,0.2,120.0,87.0
1,2000,12.78,11.63,9.44,1.15,3.34,0.21,81.0,4.0
2,2001,9.28,8.44,7.64,0.84,1.63,0.21,135.0,12.0
3,2002,10.85,10.26,8.04,0.6,2.82,0.21,141.0,5.0
4,2003,5.65,4.1,5.1,1.54,0.55,0.2,0.2,28.0
5,2004,5.22,4.34,3.91,0.89,1.31,0.18,0.18,10.0
6,2005,1.75,2.43,1.8,-0.68,-0.05,0.18,76.0,54.0
7,2006,3.91,4.33,4.15,-0.43,-0.24,0.18,86.0,53.0
8,2007,7.61,6.97,4.7,0.65,2.91,0.18,72.0,6.0
9,2008,4.93,5.24,-4.7,-0.31,9.62,0.19,89.0,11.0
10,2009,6.79,5.93,13.97,0.86,-7.19,0.22,72.0,85.0
11,2010,9.37,6.54,7.72,2.82,1.65,0.22,46.0,19.0
12,2011,10.61,7.84,5.86,2.77,4.75,0.22,61.0,1.0
13,2012,6.91,4.21,7.01,2.7,-0.1,0.2,65.0,48.0
14,2013,-3.54,-2.02,-1.42,-1.52,-2.12,0.2,70.0,96.0
15,YTD,7.14,5.87,5.34,1.28,1.8,1.8,1.8,6.0
