,Year,VPMCX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,41.34,21.04,38.87,20.3,2.47,2.47,19.0,5.0
1,2000,4.47,-9.1,-13.05,13.57,17.52,17.52,11.0,9.0
2,2001,-13.35,-11.89,-22.3,-1.46,8.95,0.5,7.0,59.0
3,2002,-24.56,-22.1,-27.64,-2.46,3.08,0.49,11.0,78.0
4,2003,37.75,28.68,28.66,9.07,9.1,0.51,12.0,4.0
5,2004,18.31,10.88,7.81,7.43,10.5,0.46,0.46,2.0
6,2005,8.49,4.91,6.71,3.58,1.78,0.45,12.0,19.0
7,2006,12.3,15.79,7.05,-3.49,5.25,0.46,10.0,78.0
8,2007,11.49,5.49,13.35,6.0,-1.86,0.43,11.0,61.0
9,2008,-32.41,-37.0,-40.67,4.59,8.26,0.43,11.0,5.0
10,2009,34.45,26.46,35.68,7.98,-1.24,0.49,4.0,50.0
11,2010,12.89,15.06,15.53,-2.17,-2.64,0.45,5.0,72.0
12,2011,-1.84,2.11,-2.46,-3.96,0.62,0.45,8.0,49.0
13,2012,15.27,16.0,15.34,-0.74,-0.07,0.45,6.0,48.0
14,2013,39.73,32.39,33.92,7.34,5.81,0.45,5.0,10.0
15,YTD,19.14,13.98,10.79,5.16,8.35,0.44,11.0,2.0
