,Year,PMEGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,25.1,21.04,60.49,4.06,-35.39,-35.39,55.0,84.0
1,2000,7.86,-9.1,-4.78,16.96,12.64,0.65,68.0,24.0
2,2001,-1.18,-11.89,-19.98,10.7,18.79,0.65,49.0,7.0
3,2002,-21.6,-22.1,-27.24,0.5,5.64,0.65,38.0,26.0
4,2003,40.29,28.68,35.96,11.6,4.33,0.65,0.65,25.0
5,2004,19.09,10.88,13.23,8.21,5.86,0.64,0.64,10.0
6,2005,15.39,4.91,9.84,10.48,5.55,0.65,33.0,12.0
7,2006,6.89,15.79,9.0,-8.9,-2.11,0.64,31.0,63.0
8,2007,18.0,5.49,15.09,12.5,2.91,0.65,52.0,36.0
9,2008,-40.59,-37.0,-43.77,-3.59,3.19,0.66,41.0,26.0
10,2009,46.78,26.46,39.11,20.32,7.67,0.66,45.0,23.0
11,2010,29.24,15.06,24.61,14.18,4.62,0.65,37.0,19.0
12,2011,-1.28,2.11,-3.96,-3.39,2.68,0.63,38.0,30.0
13,2012,14.5,16.0,14.07,-1.5,0.43,0.62,37.0,47.0
14,2013,37.89,32.39,34.93,5.5,2.96,0.61,34.0,24.0
15,YTD,13.11,13.98,6.96,-0.87,6.14,6.14,6.14,4.0
