,Year,TCWAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,39.66,30.63,64.81,9.03,-25.15,-25.15,84.0,89.0
1,2000,-11.39,-15.31,-13.77,3.92,2.38,2.38,142.0,30.0
2,2001,-1.14,-19.73,-7.02,18.6,5.88,5.88,86.0,29.0
3,2002,16.95,-14.95,-8.68,31.9,25.63,25.63,35.0,4.0
4,2003,67.78,40.83,64.65,26.95,3.13,3.13,20.0,45.0
5,2004,13.06,20.91,8.92,-7.84,4.14,2.14,2.14,35.0
6,2005,17.63,16.62,8.4,1.01,9.23,2.08,10.0,6.0
7,2006,40.86,26.65,63.12,14.21,-22.26,2.06,13.0,85.0
8,2007,44.08,16.65,55.45,27.43,-11.37,2.04,22.0,83.0
9,2008,-44.69,-45.53,-52.09,0.84,7.4,2.0,10.0,8.0
10,2009,63.97,41.45,64.47,22.52,-0.49,2.04,22.0,35.0
11,2010,17.9,11.15,13.39,6.75,4.51,2.02,10.0,18.0
12,2011,-13.53,-13.71,-24.95,0.18,11.42,1.92,6.0,3.0
13,2012,16.68,16.83,18.42,-0.15,-1.73,1.87,7.0,82.0
14,2013,-1.95,15.29,10.71,-17.24,-12.66,1.85,6.0,88.0
15,YTD,0.22,-0.27,2.72,0.49,-2.5,1.85,4.0,81.0
