,Year,FRFLX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.32,-2.06,-4.34,-1.26,1.02,1.02,8.0,73.0
1,2000,10.93,11.68,11.02,-0.75,-0.09,0.62,26.0,20.0
2,2001,5.32,5.13,4.32,0.2,1.01,0.62,12.0,7.0
3,2002,8.69,9.6,8.53,-0.91,0.16,0.62,14.0,39.0
4,2003,5.44,5.31,4.79,0.13,0.65,0.61,17.0,6.0
5,2004,4.75,4.48,3.84,0.27,0.91,0.62,0.62,4.0
6,2005,3.9,3.51,2.96,0.39,0.94,0.62,4.0,2.0
7,2006,4.68,4.84,4.41,-0.16,0.26,0.62,9.0,8.0
8,2007,2.69,3.36,1.65,-0.67,1.04,0.61,7.0,46.0
9,2008,-4.91,-2.47,-10.07,-2.43,5.16,0.61,7.0,76.0
10,2009,13.15,12.91,19.1,0.24,-5.95,0.62,11.0,87.0
11,2010,2.07,2.38,1.18,-0.31,0.89,0.62,9.0,26.0
12,2011,10.1,10.7,10.2,-0.6,-0.11,0.62,11.0,52.0
13,2012,6.59,6.78,7.57,-0.19,-0.99,0.62,6.0,72.0
14,2013,-6.22,-2.55,-5.66,-3.66,-0.56,0.62,24.0,76.0
15,YTD,9.58,8.5,9.57,1.07,0.01,0.62,7.0,41.0
