,Year,BACAX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,,,,,,1.34,12.0,12.0
1,2006,13.68,20.07,12.05,-6.39,1.63,1.34,41.0,42.0
2,2007,43.17,9.04,42.09,34.14,1.08,1.31,31.0,55.0
3,2008,-53.14,-40.71,-51.12,-12.43,-2.02,1.26,38.0,56.0
4,2009,65.65,29.99,44.36,35.66,21.29,1.34,22.0,12.0
5,2010,22.71,11.76,17.14,10.95,5.57,1.34,38.0,31.0
6,2011,-16.72,-5.54,-7.54,-11.18,-9.18,1.34,22.0,87.0
7,2012,-4.09,15.83,1.21,-19.92,-5.3,1.34,19.0,89.0
8,2013,18.8,26.68,22.85,-7.88,-4.05,1.37,28.0,70.0
9,YTD,-11.53,6.66,-13.55,-18.19,2.01,1.38,71.0,38.0
