"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"E-mini S&P 500 Index Future Sept14","43.36","EQUITY INDEX - FUTURE","-","-","-","251300","251300","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2014-09-19","0","-"
"Sptr Trs Equity 3ml+29 *Bullet* Dub","31.63","TOTAL RETURN SWAP","-","-","-","100775","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-03-31","-","-"
"Sptr Trs Equity 3ml+26.5 *Bullet* Bps","23.53","TOTAL RETURN SWAP","-","-","-","74948","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-04-28","-","-"
"Fin Fut Euro$ Cme 12/14/15","8.6","INTEREST RATE FUTURE","-","-","-","393000000","-194000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-12-15","0","-"
"Italy(Rep Of) 4.5%","3.63","BOND - GOV'T/TREASURY","-","-","-","28800000","28800000","-","-","-","-","-","-","-","-","-","-","-","-","EUR","-","-","-","2015-07-15","4.5","-"
"Irs Usd 1.500 03/18/15-1y (Red) Cme","3.04","INTEREST RATE FUTURE","-","-","-","34100000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-03-18","1.5","-"
"Italian Btp Cert Di Credito","2.06","BOND - GOV'T/TREASURY","-","-","-","17200000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-12-31","0","-"
"Verizon Comms FRN","1.76","BOND - CORPORATE BOND","-","-","-","19400000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-09-15","1.76","-"
"Italian Btp Bond","1.52","BOND - GOV'T/TREASURY","-","-","-","12200000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-12-01","2.75","-"
"United States Govt Sw Sp Hus","1.48","CREDIT DEFAULT SWAP","-","-","-","12200000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-09-20","0.25","-"
"Italy(Rep Of) 3.75%","1.44","BOND - GOV'T/TREASURY","-","-","-","11500000","0","-","-","-","-","-","-","-","-","-","-","-","-","EUR","-","-","-","2015-08-01","3.75","-"
"Bpe Financiaciones Sa Co Gtd Sr Unsec","1.41","BOND - CORPORATE BOND","-","-","-","11400000","11400000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-05-19","2.88","-"
"Spanish Govt Bd (Bonos Y Oblig)","1.21","BOND - GOV'T/TREASURY","-","-","-","9600000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-07-30","4","-"
"Gecc Snr S* Sp Bps","1.06","CREDIT DEFAULT SWAP","-","-","-","11900000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-12-20","1","-"
"Spanish Govt Bd (Bonos Y Oblig)","0.92","BOND - GOV'T/TREASURY","-","-","-","7200000","7200000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-07-30","3.3","-"
"Indonesia As Sp Ryl","0.92","CREDIT DEFAULT SWAP","-","-","-","10300000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-12-20","1","-"
"FNMA CMO","0.91","BOND - GOV'T AGENCY CMO","-","-","-","10234806","-756835","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2040-01-25","0.99","-"
"GNMA FRN","0.9","BOND - GOV'T AGENCY PASS-THRU","-","-","-","9915592","-2273276","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2041-04-20","2.5","-"
"Bcap Llc Tr 2010-Rr7 CMO","0.9","BOND - NON-AGENCY RESIDENTIAL MBS","-","-","-","10900000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2047-02-26","1.11","-"
"Wamu Mtg Cert 2007-Hy5 CMO","0.89","BOND - NON-AGENCY RESIDENTIAL MBS","-","-","-","10471525","-323794","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2037-05-25","5.83","-"
"Cisco Sys FRN","0.88","BOND - CORPORATE BOND","-","-","-","9900000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-09-03","0.28","-"
"Bk Amer FRN","0.84","BOND - CORPORATE BOND","-","-","-","9400000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-04-01","1.1","-"
"Mexico La Sp Dub","0.82","CREDIT DEFAULT SWAP","-","-","-","9200000","9200000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-12-20","1","-"
"Abbvie FRN","0.8","BOND - CORPORATE BOND","-","-","-","8975000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-11-06","0.98","-"
"Slma 2003-5 A5 3meur+27","0.76","BOND - UNDEFINED","-","-","-","6328072","-308505","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2024-06-17","0.45","-"
"Export Import Bk Korea","0.75","BOND - GOV'T AGENCY DEBT","-","-","-","8400000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-09-17","1.08","-"
"Toyota Motor Cred FRN","0.69","BOND - CORPORATE BOND","-","-","-","7800000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-09-18","0.38","-"
"Prudential Financial Inc Snr S* Sp Dub","0.69","CREDIT DEFAULT SWAP","-","-","-","7700000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-09-20","1","-"
"At&T FRN","0.64","BOND - CORPORATE BOND","-","-","-","7200000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-02-12","0.68","-"
"Mckesson Corp New FRN","0.64","BOND - CORPORATE BOND","-","-","-","7200000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-09-10","0.63","-"
"Duke Engy Progress FRN","0.54","BOND - CORPORATE BOND","-","-","-","6100000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-03-06","0.43","-"
"New York Life Gbl Fdg Mtn 144a 144A FRN","0.51","BOND - CORPORATE BOND","-","-","-","5700000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-05-23","0.58","-"
"Pepsico FRN","0.5","BOND - CORPORATE BOND","-","-","-","5700000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-02-26","0.44","-"
"Bear Stearns Cos 5.3%","0.5","BOND - CORPORATE BOND","-","-","-","5300000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-10-30","5.3","-"
"Metropolitan Life Global Fdg I 144A FRN","0.49","BOND - CORPORATE BOND","-","-","-","5500000","5500000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-07-15","0.76","-"
"Daimler Fin North Amer 144A FRN","0.46","BOND - CORPORATE BOND","-","-","-","5200000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-03-10","0.58","-"
"Citigroup FRN","0.45","BOND - CORPORATE BOND","-","-","-","5000000","5000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-07-25","1.19","-"
"Merrill Lynch & Co FRN","0.44","BOND - CORPORATE BOND","-","-","-","5500000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2026-09-15","0.99","-"
"Slma 2003-2 A5 Frn 3meur+26bp","0.42","BOND - BANK LOANS","-","-","-","3514440","-202798","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2023-12-15","1.43","-"
"FHLMC CMO","0.42","BOND - GOV'T AGENCY CMO","-","-","-","4714861","-301366","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2041-07-15","0.74","-"
"Morgan Stanley FRN","0.41","BOND - CORPORATE BOND","-","-","-","4600000","4600000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2018-04-25","1.51","-"
"FHLMC CMO","0.41","BOND - GOV'T AGENCY CMO","-","-","-","4549500","-293744","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2041-06-15","0.76","-"
"Mexico La Sp Gst","0.4","CREDIT DEFAULT SWAP","-","-","-","4500000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-09-20","1","-"
